ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
801230,10,W,8,71,48788,.591,47.356,34.082004,-117.699964,.845,ML,4,MONTE VISTA AVE,1,,,
801231,10,W,8,71,48788,.591,47.356,34.082004,-117.699964,,OR,2,MONTE VISTA AVE,1,,,
801232,10,E,8,71,48788,.721,47.486,34.082149,-117.697705,.996,ML,4,MONTE VISTA AVE,1,,,
801233,10,E,8,71,48788,.721,47.486,34.082149,-117.697705,,OR,2,MONTE VISTA AVE,1,,,
801234,10,W,8,71,48788,1.168,47.933,34.085065,-117.690768,.658,ML,4,CENTRAL AVE,1,,,
801236,10,W,8,71,48788,1.168,47.933,34.085065,-117.690768,,OR,2,CENTRAL AVE,1,,,
801237,10,E,8,71,48788,1.342,48.107,34.086058,-117.68797,.593,ML,4,CENTRAL AVE,1,,,
801238,10,E,8,71,48788,1.342,48.107,34.086058,-117.68797,,OR,2,CENTRAL AVE,1,,,
801239,10,E,8,71,81344,1.908,48.673,34.087191,-117.67832,.523,ML,4,BENSON AVE,1,,,
801240,10,W,8,71,81344,1.908,48.673,34.087371,-117.678405,.544,ML,4,BENSON AVE,1,,,
801241,10,W,8,71,81344,2.255,49.02,34.087447,-117.672326,.512,ML,4,MOUNTAIN AVE,1,,,
801242,10,W,8,71,81344,2.255,49.02,34.087447,-117.672326,,OR,2,MOUNTAIN AVE,1,,,
801243,10,E,8,71,81344,2.387,49.152,34.087182,-117.669959,.512,ML,4,MOUNTAIN AVE,1,,,
801244,10,E,8,71,81344,2.387,49.152,34.087182,-117.669959,,OR,2,MOUNTAIN AVE,1,,,
801245,10,E,8,71,81344,2.932,49.697,34.087226,-117.660445,.604,ML,4,SAN ANTONIO AVE,1,,,
801246,10,W,8,71,81344,2.932,49.697,34.08742,-117.660463,.535,ML,4,SAN ANTONIO AVE,1,,,
801247,10,W,8,71,81344,3.326,50.091,34.087466,-117.653559,.655,ML,4,EUCLID AVE,1,,,
801248,10,W,8,71,81344,3.326,50.091,34.087466,-117.653559,.197,ML,4,EUCLID AVE LOOP,1,,,
801249,10,W,8,71,81344,3.545,50.31,34.087474,-117.649722,,OR,1,EUCLID AVE LOOP,1,,,
801250,10,E,8,71,81344,3.596,50.361,34.087267,-117.648858,.852,ML,1,EUCLID AVE,1,,,
801252,10,E,8,71,81344,3.596,50.361,34.087267,-117.648858,,OR,1,EUCLID AVE,1,,,
801255,10,E,8,71,81344,4.636,51.401,34.082592,-117.632187,.848,ML,4,GROVE AVE,1,,,
