,index,Event ID,Agency,Standardized Type,Agency-specific Type,Start time,Closed time,Location,Op. Center,Latitude,Longitude,Road,Duration (Incident clearance time),Operator Notes,Responders,Max Lanes Closed,geometry,duration_min
3432,155,CALTRANS_190831IN01506,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-01 04:18:00,2019-09-01 05:11:00,1023 AT ROSS OF SAN BERNARDINO/LUGONIA,Unknown,34.075716,-117.20083000000001,,53 minutes,6.0,,,POINT (258315.2148967343 -433954.4396322379),53
7815,4,CALTRANS_190831IN01515,CADOT,Collision,1182-Trfc Collision-No Inj,2019-09-01 04:21:00,2019-09-01 05:40:00,,Unknown,33.963640999999996,-117.324886,CA 60,1 hour 19 minutes,9.0,,,POINT (247220.8213395365 -446711.9014532426),79
7814,3,CALTRANS_190831IN01512,CADOT,Animal Struck,1125A-Animal Hazard,2019-09-01 04:24:00,2019-09-01 05:58:00,,Unknown,33.876670000000004,-117.61560800000001,Serfas Club Dr,1 hour 34 minutes,1.0,,,POINT (220602.3116066458 -457071.9167584619),94
3434,161,CALTRANS_190831IN01673,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-01 06:10:00,2019-09-01 06:31:00,OPEN FOR DUPES,Unknown,34.121328999999996,-117.291905,OPEN FOR DUPES,21 minutes,5.0,,,POINT (249768.3694804593 -429140.5620098147),21
3437,164,CALTRANS_190831IN01684,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 06:16:00,2019-09-01 08:51:00,,Unknown,34.160185999999996,-117.329466,I-215,2 hours 35 minutes,7.0,,,POINT (246183.6222022635 -424929.7661465048),155
3438,165,CALTRANS_190831IN01690,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-01 06:20:00,2019-09-01 07:03:00,,Unknown,34.030232,-117.672974,CA 60,43 minutes,4.0,,,POINT (214877.9139161876 -440176.3468904127),43
3439,166,CALTRANS_190831IN01694,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 06:25:00,2019-09-01 07:01:00,I10 E WO MOUNTAIN AVE,Unknown,34.087169,-117.679154,I-10,36 minutes,1.0,,,POINT (214152.7702879703 -433876.2313659969),36
7816,8,CALTRANS_190831IN01735,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-01 06:53:00,2019-09-01 08:07:00,I215 N SO COLUMBIA AVE,Unknown,34.000782,-117.35221000000001,I-215,1 hour 14 minutes,,,,POINT (244581.2934861546 -442664.7068283064),74
3440,203,CALTRANS_190901IN00017,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 07:11:00,2019-09-01 07:34:00,,Unknown,34.112474,-117.302457,I-215,23 minutes,3.0,,,POINT (248823.3650631488 -430150.252244696),23
3441,204,CALTRANS_190901IN00020,CADOT,Collision,1182-Trfc Collision-No Inj,2019-09-01 07:14:00,2019-09-01 09:26:00,,Unknown,34.076994,-117.392983,Olive St,2 hours 12 minutes,9.0,,,POINT (240583.5365397362 -434318.2976807146),132
